,petition_id,should,people,their,government,there,children,would,being,which,public,years,british,referendum,health,these,other,change,allow,after,child
45,f055e4e6-e53b-41bd-8737-33735e83bdcb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,e8e7c5d5-7d61-4eb5-a891-c482e4178c97,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
47,474642b0-1b5b-428b-b002-b07769b7f40d,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,c0518369-5abc-4e6b-a2a0-693aa94aad41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,d5efcc65-4f86-46c0-a7d1-65d9a7a53ea1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9b94471e-75ac-40fb-82aa-b2a425a54b18,0,3,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
51,59a0cc7d-4fd1-4ab6-a8f9-8c2398a263f8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,cdeec6ba-bad3-481f-9c17-5128308b260b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0ebe1610-0575-49c5-8b51-2d1fff84b597,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,bd263def-eb53-4a0a-9c35-2752ece20cee,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
55,2cb0a8ff-dfff-4844-b112-e70b15ccee03,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
56,a2c0f1cf-7808-4679-95f2-2e0451b79222,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,2c5138eb-f358-4581-82b9-729033b59b79,0,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
58,bf8b8c4b-b60e-4931-9a33-d901fbe262a5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,548959e3-98b2-467d-8b03-90f0e2d7f295,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
